,d1,d2,Test error
0,0.5819000005722046,1,"Train error on d1: 0.5, d2: 0"
1,0.44830000400543213,1,"Validation error on d1: 0.5, d2: 0"
2,0.4369249939918518,2,"Train error on d1: 0.5, d2: 0"
3,0.4312000274658203,2,"Validation error on d1: 0.5, d2: 0"
4,0.37480002641677856,3,"Train error on d1: 0.5, d2: 0"
5,0.34299999475479126,3,"Validation error on d1: 0.5, d2: 0"
6,0.3364250063896179,4,"Train error on d1: 0.5, d2: 0"
7,0.30169999599456787,4,"Validation error on d1: 0.5, d2: 0"
8,0.30744999647140503,5,"Train error on d1: 0.5, d2: 0"
9,0.30570000410079956,5,"Validation error on d1: 0.5, d2: 0"
10,0.28747498989105225,6,"Train error on d1: 0.5, d2: 0"
11,0.29420000314712524,6,"Validation error on d1: 0.5, d2: 0"
12,0.27387499809265137,7,"Train error on d1: 0.5, d2: 0"
13,0.2840999960899353,7,"Validation error on d1: 0.5, d2: 0"
14,0.2558249831199646,8,"Train error on d1: 0.5, d2: 0"
15,0.26910001039505005,8,"Validation error on d1: 0.5, d2: 0"
16,0.24572497606277466,9,"Train error on d1: 0.5, d2: 0"
17,0.258400022983551,9,"Validation error on d1: 0.5, d2: 0"
18,0.2334499955177307,10,"Train error on d1: 0.5, d2: 0"
19,0.2649000287055969,10,"Validation error on d1: 0.5, d2: 0"
20,0.23044997453689575,11,"Train error on d1: 0.5, d2: 0"
21,0.2616000175476074,11,"Validation error on d1: 0.5, d2: 0"
22,0.2128000259399414,12,"Train error on d1: 0.5, d2: 0"
23,0.25690001249313354,12,"Validation error on d1: 0.5, d2: 0"
24,0.2088249921798706,13,"Train error on d1: 0.5, d2: 0"
25,0.25440001487731934,13,"Validation error on d1: 0.5, d2: 0"
26,0.20122498273849487,14,"Train error on d1: 0.5, d2: 0"
27,0.2573000192642212,14,"Validation error on d1: 0.5, d2: 0"
28,0.1927499771118164,15,"Train error on d1: 0.5, d2: 0"
29,0.2628999948501587,15,"Validation error on d1: 0.5, d2: 0"
30,0.18480002880096436,16,"Train error on d1: 0.5, d2: 0"
31,0.25099998712539673,16,"Validation error on d1: 0.5, d2: 0"
32,0.17972499132156372,17,"Train error on d1: 0.5, d2: 0"
33,0.24959999322891235,17,"Validation error on d1: 0.5, d2: 0"
34,0.17092502117156982,18,"Train error on d1: 0.5, d2: 0"
35,0.26920002698898315,18,"Validation error on d1: 0.5, d2: 0"
36,0.1689249873161316,19,"Train error on d1: 0.5, d2: 0"
37,0.25129997730255127,19,"Validation error on d1: 0.5, d2: 0"
38,0.16372501850128174,20,"Train error on d1: 0.5, d2: 0"
39,0.25370001792907715,20,"Validation error on d1: 0.5, d2: 0"
40,0.15882498025894165,21,"Train error on d1: 0.5, d2: 0"
41,0.24720001220703125,21,"Validation error on d1: 0.5, d2: 0"
42,0.1524999737739563,22,"Train error on d1: 0.5, d2: 0"
43,0.25029999017715454,22,"Validation error on d1: 0.5, d2: 0"
44,0.14887499809265137,23,"Train error on d1: 0.5, d2: 0"
45,0.24809998273849487,23,"Validation error on d1: 0.5, d2: 0"
46,0.13997501134872437,24,"Train error on d1: 0.5, d2: 0"
47,0.2516999840736389,24,"Validation error on d1: 0.5, d2: 0"
48,0.13940000534057617,25,"Train error on d1: 0.5, d2: 0"
49,0.24330002069473267,25,"Validation error on d1: 0.5, d2: 0"
50,0.13692498207092285,26,"Train error on d1: 0.5, d2: 0"
51,0.2379000186920166,26,"Validation error on d1: 0.5, d2: 0"
52,0.13429999351501465,27,"Train error on d1: 0.5, d2: 0"
53,0.2465999722480774,27,"Validation error on d1: 0.5, d2: 0"
54,0.12650001049041748,28,"Train error on d1: 0.5, d2: 0"
55,0.24229997396469116,28,"Validation error on d1: 0.5, d2: 0"
56,0.125,29,"Train error on d1: 0.5, d2: 0"
57,0.24550002813339233,29,"Validation error on d1: 0.5, d2: 0"
58,0.12115001678466797,30,"Train error on d1: 0.5, d2: 0"
59,0.24290001392364502,30,"Validation error on d1: 0.5, d2: 0"
60,0.5948500037193298,1,"Train error on d1: 0.5, d2: 0.2"
61,0.46929997205734253,1,"Validation error on d1: 0.5, d2: 0.2"
62,0.44749999046325684,2,"Train error on d1: 0.5, d2: 0.2"
63,0.3896999955177307,2,"Validation error on d1: 0.5, d2: 0.2"
64,0.3894749879837036,3,"Train error on d1: 0.5, d2: 0.2"
65,0.35439997911453247,3,"Validation error on d1: 0.5, d2: 0.2"
66,0.3499000072479248,4,"Train error on d1: 0.5, d2: 0.2"
67,0.34539997577667236,4,"Validation error on d1: 0.5, d2: 0.2"
68,0.32427501678466797,5,"Train error on d1: 0.5, d2: 0.2"
69,0.31040000915527344,5,"Validation error on d1: 0.5, d2: 0.2"
70,0.30457502603530884,6,"Train error on d1: 0.5, d2: 0.2"
71,0.296500027179718,6,"Validation error on d1: 0.5, d2: 0.2"
72,0.2856000065803528,7,"Train error on d1: 0.5, d2: 0.2"
73,0.27619999647140503,7,"Validation error on d1: 0.5, d2: 0.2"
74,0.2698249816894531,8,"Train error on d1: 0.5, d2: 0.2"
75,0.2767999768257141,8,"Validation error on d1: 0.5, d2: 0.2"
76,0.258650004863739,9,"Train error on d1: 0.5, d2: 0.2"
77,0.2847999930381775,9,"Validation error on d1: 0.5, d2: 0.2"
78,0.24365001916885376,10,"Train error on d1: 0.5, d2: 0.2"
79,0.2800999879837036,10,"Validation error on d1: 0.5, d2: 0.2"
80,0.23702502250671387,11,"Train error on d1: 0.5, d2: 0.2"
81,0.26260000467300415,11,"Validation error on d1: 0.5, d2: 0.2"
82,0.2252500057220459,12,"Train error on d1: 0.5, d2: 0.2"
83,0.25550001859664917,12,"Validation error on d1: 0.5, d2: 0.2"
84,0.218625009059906,13,"Train error on d1: 0.5, d2: 0.2"
